number_id,gu_name,MY_id,type_id,PC_id,the_number_of_registered_vehicle
1,강남구,2021-12,1,1,152
2,강남구,2021-12,1,2,200
3,강남구,2021-12,1,3,358
4,강남구,2021-12,2,1,151
5,강남구,2021-12,2,2,218
6,강남구,2021-12,2,3,661
7,강남구,2021-12,3,1,4
8,강남구,2021-12,3,2,348
9,강남구,2021-12,3,3,611
10,강남구,2021-12,4,1,13
11,강남구,2021-12,4,2,179
12,강남구,2021-12,4,3,13
13,강동구,2021-12,1,1,105
14,강동구,2021-12,1,2,126
15,강동구,2021-12,1,3,873
16,강동구,2021-12,2,1,211
17,강동구,2021-12,2,2,132
18,강동구,2021-12,2,3,189
19,강동구,2021-12,3,1,3
20,강동구,2021-12,3,2,721
21,강동구,2021-12,3,3,678
22,강동구,2021-12,4,1,441
23,강동구,2021-12,4,2,154
24,강동구,2021-12,4,3,12
25,강북구,2021-12,1,1,102
26,강북구,2021-12,1,2,60
27,강북구,2021-12,1,3,845
28,강북구,2021-12,2,1,139
29,강북구,2021-12,2,2,63
30,강북구,2021-12,2,3,86
31,강북구,2021-12,3,1,2
32,강북구,2021-12,3,2,556
33,강북구,2021-12,3,3,719
34,강북구,2021-12,4,1,338
35,강북구,2021-12,4,2,130
36,강북구,2021-12,4,3,7
37,강서구,2021-12,1,1,125
38,강서구,2021-12,1,2,164
39,강서구,2021-12,1,3,486
40,강서구,2021-12,2,1,485
41,강서구,2021-12,2,2,177
42,강서구,2021-12,2,3,96
43,강서구,2021-12,3,1,5
44,강서구,2021-12,3,2,3
45,강서구,2021-12,3,3,1
46,강서구,2021-12,4,1,6
47,강서구,2021-12,4,2,409
48,강서구,2021-12,4,3,157
49,관악구,2021-12,1,1,94
50,관악구,2021-12,1,2,99
51,관악구,2021-12,1,3,15
52,관악구,2021-12,2,1,42
53,관악구,2021-12,2,2,102
54,관악구,2021-12,2,3,151
55,관악구,2021-12,3,1,3
56,관악구,2021-12,3,2,619
57,관악구,2021-12,3,3,310
58,관악구,2021-12,4,1,979
59,관악구,2021-12,4,2,152
60,관악구,2021-12,4,3,9
61,광진구,2021-12,1,1,88
62,광진구,2021-12,1,2,79
63,광진구,2021-12,1,3,766
64,광진구,2021-12,2,1,98
65,광진구,2021-12,2,2,82
66,광진구,2021-12,2,3,952
67,광진구,2021-12,3,1,2
68,광진구,2021-12,3,2,507
69,광진구,2021-12,3,3,391
70,광진구,2021-12,4,1,942
71,광진구,2021-12,4,2,163
72,광진구,2021-12,4,3,10
73,구로구,2021-12,1,1,102
74,구로구,2021-12,1,2,112
75,구로구,2021-12,1,3,959
76,구로구,2021-12,2,1,31
77,구로구,2021-12,2,2,123
78,구로구,2021-12,2,3,92
79,구로구,2021-12,3,1,4
80,구로구,2021-12,3,2,738
81,구로구,2021-12,3,3,629
82,구로구,2021-12,4,1,431
83,구로구,2021-12,4,2,133
84,구로구,2021-12,4,3,14
85,금천구,2021-12,1,1,44
86,금천구,2021-12,1,2,69
87,금천구,2021-12,1,3,563
88,금천구,2021-12,2,1,560
89,금천구,2021-12,2,2,73
90,금천구,2021-12,2,3,167
91,금천구,2021-12,3,1,3
92,금천구,2021-12,3,2,143
93,금천구,2021-12,3,3,482
94,금천구,2021-12,4,1,647
95,금천구,2021-12,4,2,68
96,금천구,2021-12,4,3,10
97,노원구,2021-12,1,1,87
98,노원구,2021-12,1,2,128
99,노원구,2021-12,1,3,613
100,노원구,2021-12,2,1,715
101,노원구,2021-12,2,2,134
102,노원구,2021-12,2,3,415
103,노원구,2021-12,3,1,3
104,노원구,2021-12,3,2,919
105,노원구,2021-12,3,3,862
106,노원구,2021-12,4,1,833
107,노원구,2021-12,4,2,169
108,노원구,2021-12,4,3,10
109,도봉구,2021-12,1,1,92
110,도봉구,2021-12,1,2,76
111,도봉구,2021-12,1,3,683
112,도봉구,2021-12,2,1,513
113,도봉구,2021-12,2,2,81
114,도봉구,2021-12,2,3,288
115,도봉구,2021-12,3,1,2
116,도봉구,2021-12,3,2,788
117,도봉구,2021-12,3,3,575
118,도봉구,2021-12,4,1,415
119,도봉구,2021-12,4,2,131
120,도봉구,2021-12,4,3,8
121,동대문구,2021-12,1,1,111
122,동대문구,2021-12,1,2,80
123,동대문구,2021-12,1,3,187
124,동대문구,2021-12,2,1,479
125,동대문구,2021-12,2,2,82
126,동대문구,2021-12,2,3,777
127,동대문구,2021-12,3,1,3
128,동대문구,2021-12,3,2,32
129,동대문구,2021-12,3,3,129
130,동대문구,2021-12,4,1,216
131,동대문구,2021-12,4,2,146
132,동대문구,2021-12,4,3,9
133,동작구,2021-12,1,1,111
134,동작구,2021-12,1,2,93
135,동작구,2021-12,1,3,439
136,동작구,2021-12,2,1,182
137,동작구,2021-12,2,2,94
138,동작구,2021-12,2,3,732
139,동작구,2021-12,3,1,2
140,동작구,2021-12,3,2,621
141,동작구,2021-12,3,3,141
142,동작구,2021-12,4,1,815
143,동작구,2021-12,4,2,147
144,동작구,2021-12,4,3,6
145,마포구,2021-12,1,1,102
146,마포구,2021-12,1,2,100
147,마포구,2021-12,1,3,945
148,마포구,2021-12,2,1,417
149,마포구,2021-12,2,2,105
150,마포구,2021-12,2,3,464
151,마포구,2021-12,3,1,2
152,마포구,2021-12,3,2,928
153,마포구,2021-12,3,3,596
154,마포구,2021-12,4,1,579
155,마포구,2021-12,4,2,166
156,마포구,2021-12,4,3,9
157,서대문구,2021-12,1,1,203
158,서대문구,2021-12,1,2,74
159,서대문구,2021-12,1,3,574
160,서대문구,2021-12,2,1,165
161,서대문구,2021-12,2,2,77
162,서대문구,2021-12,2,3,942
163,서대문구,2021-12,3,1,2
164,서대문구,2021-12,3,2,331
165,서대문구,2021-12,3,3,415
166,서대문구,2021-12,4,1,850
167,서대문구,2021-12,4,2,138
168,서대문구,2021-12,4,3,6
169,서초구,2021-12,1,1,207
170,서초구,2021-12,1,2,151
171,서초구,2021-12,1,3,378
172,서초구,2021-12,2,1,952
173,서초구,2021-12,2,2,156
174,서초구,2021-12,2,3,537
175,서초구,2021-12,3,1,3
176,서초구,2021-12,3,2,374
177,서초구,2021-12,3,3,721
178,서초구,2021-12,4,1,223
179,서초구,2021-12,4,2,177
180,서초구,2021-12,4,3,10
181,성동구,2021-12,1,1,120
182,성동구,2021-12,1,2,82
183,성동구,2021-12,1,3,640
184,성동구,2021-12,2,1,411
185,성동구,2021-12,2,2,93
186,성동구,2021-12,2,3,171
187,성동구,2021-12,3,1,2
188,성동구,2021-12,3,2,224
189,성동구,2021-12,3,3,880
190,성동구,2021-12,4,1,147
191,성동구,2021-12,4,2,161
192,성동구,2021-12,4,3,8
